w1;w2
   1.9281e+00;   1.8411e+00
   2.3637e+00;   2.2117e+00
   2.7193e+00;   2.3922e+00
   2.9950e+00;   2.8727e+00
   2.2006e+00;   3.1032e+00
   2.6262e+00;   3.6238e+00
   2.4618e+00;   3.0943e+00
   1.0000e+00;   2.9048e+00
   1.1331e+00;   2.9453e+00
   1.5187e+00;   3.3158e+00
   1.6543e+00;   2.4964e+00
   1.7499e+00;   2.9069e+00
   1.9956e+00;   2.6774e+00
   2.3212e+00;   2.3779e+00
   2.3768e+00;   2.8284e+00
   2.3224e+00;   2.6390e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   3.3190e+00
   1.7795e+00;   2.8784e+00
   6.1939e+00;   2.7679e+00
   7.4782e+00;   3.2174e+00
